2294,4,down,flat,up
"5659,5","5870,8",6001,"6020,2",1
"5645,2","5810,9","5981,9","6011,4",2
"5698,7","5781,5",5966,"6004,6",0
"5702,7","5730,8","5943,8","5995,3",1
"5668,2","5698,6","5924,9",5988,0
5640,"5664,4","5899,7","5978,8",0
"5565,4","5644,1","5871,1",5968,2
"5576,7","5640,7","5851,2","5959,3",2
"5684,8","5655,4","5838,6","5953,4",0
5687,"5637,4","5814,7","5943,8",0
"5536,7",5608,"5781,2","5929,4",2
5509,"5591,9","5753,4","5918,3",0
5524,"5574,9","5722,4","5906,3",0
"5460,7",5562,"5694,7","5895,6",0
"5354,1","5511,3","5654,7","5883,1",2
"5314,6","5456,2",5625,"5872,7",2
"5381,5",5424,"5594,5","5861,9",1
"5409,1","5419,7","5570,1","5852,3",2
"5468,5","5412,4","5554,1",5844,1
"5520,8","5418,8","5546,6","5833,5",2
"5546,4","5436,9","5542,8","5822,8",1
5580,"5483,3",5540,"5812,9",0
"5532,4","5499,1","5526,2","5800,9",2
"5497,1","5516,3","5519,5","5789,5",2
"5556,3","5541,2",5515,"5780,7",2
"5627,6","5561,8","5518,2","5773,5",1
5657,"5580,1","5524,2","5766,5",1
5662,"5594,9","5526,8","5760,9",0
"5612,1","5589,3","5516,9","5753,1",1
"5564,1","5603,9","5514,5","5744,5",0
"5503,4","5591,1","5513,6",5732,0
"5408,3","5561,6","5504,4","5719,2",2
"5432,7","5535,4","5504,4","5707,3",1
"5493,5","5514,9","5507,7","5695,5",2
5537,"5499,7","5522,7","5685,7",1
"5552,4","5497,9","5531,5","5674,4",0
"5489,1","5478,2","5533,5","5661,1",2
"5494,4","5495,3",5540,"5651,7",2
"5640,1","5544,5","5550,6","5646,3",0
"5709,8","5574,5","5558,9",5638,1
"5694,7",5602,"5565,5","5629,6",1
"5696,6","5620,1","5570,6",5621,0
5667,"5634,7","5578,9","5611,8",2
"5666,2","5670,6","5587,5","5605,7",2
"5712,1","5696,9","5594,5","5599,1",1
"5724,5","5694,8","5597,2","5594,3",2
"5744,5","5706,8","5603,3","5589,5",1
"5786,3","5720,9","5609,6","5587,4",1
"5802,7","5737,2","5622,3","5586,8",1
"5805,3","5760,4","5633,7","5589,3",2
"5823,8","5782,2","5654,4","5593,3",1
"5836,3","5795,9","5676,5",5597,2
"5845,7","5816,8","5695,7","5599,2",1
"5850,2","5826,1","5712,2","5602,9",1
"5850,7","5835,2",5727,"5606,5",1
"5853,4","5840,6","5742,3","5611,4",0
"5825,7",5841,"5760,7","5616,9",0
"5790,9","5831,2","5771,9",5620,2
"5796,6","5829,7","5776,3","5621,4",0
5793,"5816,2","5780,3","5624,2",1
"5753,9","5802,2","5782,3","5630,1",0
"5700,9","5773,4","5780,7","5631,9",2
"5683,2","5753,5","5783,9","5636,4",0
"5689,9","5734,6","5783,1","5641,1",2
"5717,5","5732,5","5784,4",5651,2
"5777,6","5729,1","5788,4","5659,6",2
"5815,5",5739,"5791,5","5668,3",0
"5820,1",5748,"5791,8",5676,2
"5825,9","5774,7","5793,8","5682,6",0
"5789,4","5778,4","5790,2","5686,8",1
"5725,7","5784,9",5784,"5689,8",0
"5702,5","5774,1","5776,8","5691,7",1
5697,"5761,9","5769,2","5696,4",1
"5696,3","5740,1","5761,4","5699,7",0
"5657,4","5715,5","5749,8","5700,4",0
"5577,9","5669,2","5733,8","5697,7",1
"5529,9","5641,3","5720,3","5695,4",1
"5537,2","5615,4","5708,5","5692,7",2
"5576,3","5605,2","5698,2","5693,9",0
"5587,4",5584,"5687,9","5693,6",0
"5542,4","5561,2","5677,1","5695,5",0
"5478,1","5532,8","5665,6","5696,4",2
"5469,6","5530,3","5655,7",5697,0
5444,"5508,3","5641,1","5694,4",2
"5398,7","5490,7","5623,8","5691,4",2
"5468,6","5477,5","5610,2","5691,1",0
"5489,8","5462,8","5591,3","5691,4",1
"5446,3","5450,1","5572,8","5689,1",2
"5497,7","5468,4","5558,4","5685,8",2
"5579,7","5481,5","5551,8","5683,9",2
"5634,3","5522,8","5549,3","5683,3",0
5650,"5553,3","5546,6","5682,1",0
"5588,3",5557,"5538,4","5680,2",2
"5603,1","5585,7","5537,2","5679,6",1
"5666,4","5619,9","5539,3","5678,4",2
"5696,3","5642,4","5549,1","5678,4",2
"5734,8","5664,2","5559,8",5678,1
"5737,8",5672,"5569,1","5676,5",1
5734,"5688,3","5575,6","5675,2",0
"5667,1","5694,5","5577,1",5671,1
"5598,1","5686,8","5581,2","5666,2",0
"5560,1","5664,1","5585,3","5659,9",1
"5512,1","5634,2","5585,4","5652,9",1
"5503,4",5598,"5591,2",5646,1
"5504,4","5567,5",5596,5639,2
"5557,1","5547,5","5600,1","5634,2",1
"5608,5","5550,8","5607,9","5630,3",1
"5620,9",5554,"5617,6","5627,4",1
"5627,4",5570,"5620,9","5623,6",1
"5620,7",5585,"5621,7","5620,5",0
"5582,2","5592,5","5615,6","5616,7",1
"5548,2","5597,5","5611,5","5614,4",0
"5496,4","5575,2","5606,5","5609,2",1
"5449,8","5552,1","5596,1","5604,8",2
"5474,3","5533,3","5587,2","5599,5",0
"5465,5","5505,9","5573,1","5592,3",0
"5417,9","5475,4","5555,5","5583,6",1
"5385,9","5449,8","5537,9","5574,9",2
"5387,5","5429,4","5520,9","5566,1",0
"5327,2","5401,4","5503,9","5556,4",1
"5238,1",5369,"5484,9","5546,5",0
"5191,2","5320,6",5467,5536,0
"5124,7","5271,6","5446,1","5523,7",0
"4918,4","5177,9","5408,5","5504,9",2
"4793,5","5102,3","5375,1","5489,1",0
"4739,7","4992,8","5326,8","5471,4",2
"4776,9","4945,1","5291,9",5459,0
"4897,6","4895,5","5254,4","5445,8",1
"4863,2","4851,4","5215,5","5430,5",2
"4894,9","4829,8","5181,8","5418,1",0
"4907,5","4848,2",5148,"5405,1",1
"4871,7","4852,1","5114,2","5393,8",2
"4923,9","4900,9","5090,7","5383,2",1
"4975,9",4909,"5066,8","5375,1",0
"4875,3","4894,5","5030,8","5362,3",2
"4796,6",4890,"4999,9","5348,2",0
"4770,1","4858,9","4966,1","5333,5",1
"4716,7","4835,5",4933,5319,1
"4696,2","4808,7","4896,9","5301,4",2
"4761,7","4789,1","4876,4","5286,3",1
"4848,1","4772,2","4857,9",5270,1
4857,"4783,9",4843,"5254,6",0
"4815,2","4777,5",4827,"5239,1",2
"4816,8","4797,2","4832,9","5223,1",1
"4873,8","4822,4",4835,"5207,4",0
"4849,3",4841,"4843,8","5189,3",2
"4835,8","4843,6","4840,9","5171,4",0
"4841,7","4839,2","4838,2","5153,4",2
"4871,9","4847,8","4841,8","5136,9",2
"4946,2","4876,6","4843,4","5124,6",1
"4970,9","4891,9","4848,1","5111,8",0
4917,"4888,9","4847,9","5098,8",0
"4827,9","4885,8","4838,5","5084,5",0
"4766,7","4869,2",4827,"5069,4",0
"4709,3","4847,9","4821,9","5052,7",2
"4716,2","4824,7","4818,9","5035,7",0
"4717,2","4782,5","4816,6",5017,0
"4648,5","4732,6","4812,1","4996,8",0
4593,4690,"4806,3","4975,6",2
"4597,3","4666,7","4795,7","4955,9",2
"4662,4","4660,2","4787,8","4938,8",0
"4663,6","4653,6","4776,3","4920,5",0
"4611,2","4630,2","4767,4","4903,4",0
"4511,6","4594,9","4745,8",4883,2
"4506,8","4589,7","4730,7","4864,7",1
"4569,3","4588,1","4717,8","4847,1",1
"4544,8","4574,7","4701,6","4829,8",2
"4612,9","4573,9","4694,9","4816,2",1
"4684,3","4580,6","4682,8","4801,7",2
"4698,1","4598,8","4670,1","4791,1",1
"4707,7","4636,6","4656,5","4780,5",1
"4701,5","4654,4","4648,6","4771,5",2
"4786,5","4698,7","4652,3","4766,9",2
4889,"4752,7","4660,8","4770,3",1
"4899,9","4780,7","4671,4","4771,2",1
"4894,4","4812,7","4678,6","4776,5",2
"4922,7","4844,9","4691,9",4777,0
"4928,6","4875,9","4706,6","4777,7",0
"4893,8","4899,9",4722,"4778,3",1
"4867,2","4898,9","4733,6","4776,6",0
"4828,7","4882,6","4738,7","4775,1",0
"4782,2","4865,3","4745,5",4773,1
"4773,6","4848,1","4754,9","4769,1",2
"4817,9","4835,3","4776,1","4766,7",1
"4858,6","4828,1","4790,1","4768,4",2
"4911,9","4840,5","4810,4","4771,3",0
4936,"4847,8","4829,2","4775,1",0
"4891,5","4858,4","4838,2","4778,3",2
"4908,6","4883,9","4851,6","4783,6",1
"4937,1","4905,2","4862,1","4785,3",2
"4953,9","4922,7","4876,2","4787,8",2
"4995,5","4944,3","4891,5","4790,9",0
"4994,9","4946,5","4897,1",4795,1
"4986,8","4958,8","4901,3","4797,7",2
"5033,1","4986,9","4910,4","4801,4",1
"5066,5","5003,9","4918,5","4806,4",1
"5052,1","5019,8","4923,3",4810,2
"5058,1","5033,7","4931,5",4815,1
"5065,4","5039,8","4940,5","4817,8",0
"5008,1","5037,4","4945,6","4817,5",1
"4968,4","5034,5","4954,5","4817,6",1
"4987,4","5024,4","4966,1","4820,3",2
5027,"5023,2","4979,8","4825,6",1
"5056,4","5025,6","4989,9","4831,9",1
"5067,8",5026,"5000,7","4839,9",2
"5110,1","5038,3","5009,8","4847,7",0
"5098,5","5051,8",5017,"4855,2",1
"5041,2","5059,1","5024,7","4863,4",1
"5028,1","5063,4","5028,9","4872,6",0
"4981,3","5046,1","5029,1","4878,7",1
"4935,8",5029,"5027,1","4883,5",0
"4922,2","5004,5","5021,8","4889,1",2
"4938,8","4980,1","5021,5","4896,6",1
"4973,5","4968,8","5020,5","4907,5",2
"4995,1","4966,9","5017,7","4916,2",0
"4974,7","4953,5","5011,3","4923,8",2
"4959,5","4960,7","5008,4","4932,8",0
"4949,4","4957,4","5000,4","4937,2",1
"4911,1","4957,5",4993,"4941,8",0
"4851,2","4932,4","4984,7","4943,3",1
"4797,4","4907,1","4975,9","4945,4",0
"4780,2",4871,4964,"4946,5",0
4711,"4831,8","4944,3","4942,4",1
"4666,6","4787,3",4925,"4937,6",1
"4677,3","4754,1","4905,3","4933,5",1
4670,"4718,4",4881,"4928,6",1
4672,"4702,9","4862,6","4923,5",0
"4652,5","4677,1","4842,2","4917,6",1
"4605,1","4652,8","4820,3","4911,9",0
"4550,3","4631,2","4799,1","4904,9",1
"4510,3","4608,2","4777,8","4899,2",0
"4492,6","4578,4","4756,1","4893,3",2
4505,4561,"4734,4","4888,4",0
"4481,2","4523,9","4706,9","4879,9",1
"4411,8","4492,2",4676,"4870,6",2
"4416,1","4469,9",4651,4860,0
4388,"4445,9","4618,9","4848,6",0
"4318,8","4415,2",4588,"4837,1",2
"4320,2","4396,6","4559,8","4825,1",0
4305,4358,"4533,3","4811,8",2
"4304,3","4346,1","4510,5","4799,1",0
"4309,1","4328,7","4486,2","4784,4",2
"4307,6","4315,1","4470,2","4771,6",0
"4285,6","4299,4","4448,1","4756,3",0
"4166,1","4271,4","4419,1","4736,9",2
"4121,6","4242,7","4393,3","4718,5",0
"4101,8","4213,4",4362,"4698,9",2
"4086,8","4180,5","4336,7","4679,7",2
"4169,2","4173,4","4318,4","4663,1",2
"4262,7","4167,7",4308,"4649,9",1
"4313,3","4181,3","4298,7","4636,9",1
"4327,2","4213,7","4291,4","4623,5",2
4368,"4251,7",4285,"4610,5",0
"4378,4","4292,7","4281,1","4596,3",1
"4362,6","4330,5","4280,1","4582,3",0
"4350,8","4344,6","4274,6",4566,1
"4322,5","4347,6","4273,6","4551,3",2
"4360,5","4358,1","4278,8","4538,7",1
"4396,5","4367,4","4281,2",4526,0
"4353,4","4353,9","4283,6","4513,6",0
"4297,5","4344,3","4280,5","4500,5",2
"4333,5","4345,6",4286,"4490,1",2
"4417,3","4363,3","4291,5","4479,6",1
"4452,9","4382,9","4302,8","4469,2",2
"4474,6","4395,9","4322,3","4458,8",2
"4515,2","4416,8","4342,1","4450,9",1
"4528,5","4445,9",4365,"4441,6",0
"4460,7","4463,4","4379,5","4431,3",1
"4411,9","4468,4","4389,3","4421,6",2
"4437,3","4469,1",4397,"4414,8",1
"4451,2","4467,9","4403,1","4407,7",0
"4390,8","4445,2","4403,3","4399,2",2
