"2294","4","down","flat","up"
"5472.70","5474.30","5419.70","5311.50","1"
"5447.20","5475.10","5421.80","5319.40","1"
"5457.00","5476.80","5424.60","5326.10","1"
"5455.90","5471.40","5426.10","5332.40","1"
"5438.70","5464.10","5425.60","5338.40","0"
"5407.20","5446.60","5425.30","5343.30","0"
"5349.10","5418.50","5422.60","5346.50","1"
"5307.40","5399.40","5420.50","5350.30","2"
"5343.70","5388.90","5421.00","5354.10","0"
"5354.40","5370.10","5421.90","5356.50","0"
"5290.80","5341.70","5417.80","5358.70","2"
"5275.10","5323.30","5412.50","5361.70","2"
"5327.90","5319.10","5408.60","5364.50","1"
"5355.20","5325.10","5404.30","5366.70","1"
"5364.90","5335.50","5400.80","5369.20","1"
"5381.70","5335.90","5397.60","5371.90","2"
"5405.90","5350.20","5394.50","5375.60","1"
"5427.20","5374.90","5392.00","5379.80","2"
"5451.30","5400.60","5390.20","5384.10","2"
"5492.70","5422.00","5390.40","5388.60","2"
"5525.60","5449.30","5395.50","5393.80","1"
"5536.00","5470.80","5399.30","5398.70","0"
"5507.50","5485.20","5400.50","5402.20","1"
"5499.60","5497.60","5403.60","5406.20","1"
"5512.40","5509.60","5407.90","5409.20","0"
"5482.20","5506.40","5411.10","5411.20","2"
"5497.00","5510.80","5422.70","5414.70","1"
"5536.70","5509.60","5434.10","5419.30","1"
"5537.60","5511.20","5442.10","5423.00","2"
"5579.70","5530.20","5456.60","5428.10","1"
"5614.30","5544.00","5474.40","5432.80","0"
"5592.70","5553.20","5488.40","5436.10","0"
"5546.00","5562.20","5496.20","5438.30","1"
"5518.00","5559.20","5504.60","5440.30","1"
"5525.80","5559.10","5512.30","5442.20","0"
"5517.50","5553.40","5518.20","5444.40","2"
"5555.90","5552.30","5527.30","5449.30","1"
"5613.70","5553.30","5536.90","5454.70","1"
"5624.40","5561.30","5544.60","5459.90","0"
"5611.30","5571.90","5548.70","5465.50","1"
"5576.70","5578.10","5549.70","5470.00","1"
"5558.40","5581.30","5551.00","5473.10","2"
"5584.90","5597.40","5557.50","5476.60","0"
"5597.20","5593.10","5560.70","5479.50","1"
"5577.40","5587.00","5564.00","5482.00","2"
"5606.60","5588.00","5573.20","5485.80","1"
"5623.60","5590.50","5576.60","5488.20","1"
"5595.80","5593.50","5579.10","5490.30","2"
"5601.00","5602.70","5583.00","5492.50","1"
"5632.60","5607.10","5584.40","5495.30","0"
"5627.00","5611.20","5584.30","5498.70","2"
"5635.30","5623.60","5588.60","5502.80","1"
"5669.80","5629.20","5596.60","5507.20","1"
"5679.20","5639.50","5604.80","5511.70","1"
"5678.90","5653.00","5611.90","5516.80","1"
"5689.90","5664.90","5622.00","5523.00","0"
"5684.10","5667.70","5624.80","5530.20","1"
"5678.80","5679.70","5628.50","5537.90","0"
"5668.20","5677.10","5629.20","5543.10","2"
"5663.30","5677.90","5633.70","5550.30","2"
"5704.30","5684.30","5641.90","5559.70","1"
"5723.40","5690.60","5650.20","5568.20","1"
"5717.20","5692.10","5655.10","5575.30","1"
"5726.70","5702.80","5663.20","5583.00","1"
"5726.70","5705.80","5670.10","5589.70","1"
"5704.00","5713.00","5672.90","5595.90","1"
"5701.20","5716.60","5677.80","5601.50","1"
"5712.10","5715.20","5684.50","5607.30","2"
"5739.50","5721.20","5691.70","5613.10","0"
"5675.50","5703.30","5688.80","5614.60","0"
"5552.40","5671.40","5684.20","5614.10","0"
"5487.40","5634.90","5674.00","5612.70","0"
